defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/MOP_0000693	alternating copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53517	alternating copolymer
http://purl.obolibrary.org/obo/MOP_0000699	block copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53511	block copolymer
http://purl.obolibrary.org/obo/MOP_0000634	chain polymerisation	http://purl.obolibrary.org/obo/MOP_0000635	chain reaction	http://purl.obolibrary.org/obo/CHEBI_33839	macromolecule
http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/MOP_0000629	polymerisation	http://purl.obolibrary.org/obo/CHEBI_53310	co-polymer
http://purl.obolibrary.org/obo/MOP_0000700	diblock copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53512	diblock copolymer
http://purl.obolibrary.org/obo/MOP_0000671	epoxidation	http://purl.obolibrary.org/obo/MOP_0000543	molecular process	http://purl.obolibrary.org/obo/CHEBI_32955	epoxide
http://purl.obolibrary.org/obo/MOP_0000694	graft copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53519	graft copolymer
http://purl.obolibrary.org/obo/MOP_0000702	graft polymerisation	http://purl.obolibrary.org/obo/MOP_0000629	polymerisation	http://purl.obolibrary.org/obo/CHEBI_53518	graft polymer
http://purl.obolibrary.org/obo/MOP_0000633	homopolymerisation	http://purl.obolibrary.org/obo/MOP_0000629	polymerisation	http://purl.obolibrary.org/obo/CHEBI_37997	homopolymer
http://purl.obolibrary.org/obo/MOP_0000647	ionic copolymerisation	http://purl.obolibrary.org/obo/MOP_0000637	ionic polymerisation	http://purl.obolibrary.org/obo/CHEBI_53310	co-polymer
http://purl.obolibrary.org/obo/MOP_0000649	living copolymerisation	http://purl.obolibrary.org/obo/MOP_0000646	living polymerisation	http://purl.obolibrary.org/obo/CHEBI_53310	co-polymer
http://purl.obolibrary.org/obo/MOP_0000695	periodic copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53520	periodic copolymer
http://purl.obolibrary.org/obo/MOP_0000629	polymerisation	http://purl.obolibrary.org/obo/MOP_0000543	molecular process	http://purl.obolibrary.org/obo/CHEBI_33839	macromolecule
http://purl.obolibrary.org/obo/MOP_0000648	radical copolymerisation	http://purl.obolibrary.org/obo/MOP_0000639	radical polymerisation	http://purl.obolibrary.org/obo/CHEBI_53310	co-polymer
http://purl.obolibrary.org/obo/MOP_0000786	radical formation	http://purl.obolibrary.org/obo/MOP_0000543	molecular process	http://purl.obolibrary.org/obo/CHEBI_26519	radical
http://purl.obolibrary.org/obo/MOP_0000696	random copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53521	random copolymer
http://purl.obolibrary.org/obo/MOP_0000688	ring-opening copolymerisation	http://purl.obolibrary.org/obo/MOP_0000686	ring-opening polymerisation	http://purl.obolibrary.org/obo/CHEBI_53310	co-polymer
http://purl.obolibrary.org/obo/MOP_0000697	statistical copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53516	statistical copolymer
http://purl.obolibrary.org/obo/MOP_0000698	stereospecific copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53522	tactic polymer
http://purl.obolibrary.org/obo/MOP_0000701	triblock copolymerisation	http://purl.obolibrary.org/obo/MOP_0000631	copolymerisation	http://purl.obolibrary.org/obo/CHEBI_53513	triblock copolymer
